model_type,proportion,n_train,auc_mean,auc_lower,auc_upper
model12,0.2,72,0.9571150097465886,0.9193274456521738,0.9841071428571428
model12,0.25,90,0.9613680666312245,0.9278192934782608,0.9852385238523852
model12,0.3,108,0.9620769094453305,0.9254415760869565,0.9871527777777778
model12,0.35,126,0.9595959595959597,0.924032403240324,0.9844693701466781
model12,0.4,144,0.962254120148857,0.9280357142857144,0.9858231437178805
model12,0.45,162,0.96260854155591,0.9287920384351407,0.9859154929577465
model12,0.5,181,0.9642034378876485,0.9306463326071168,0.9861775651249336
model12,0.55,199,0.9626085415559099,0.9287500000000001,0.9857116688038102
model12,0.6,217,0.9652667021088074,0.9347421808960269,0.9869595058339052
model12,0.65,235,0.9642034378876484,0.9327938071780436,0.9869595058339052
model12,0.7,253,0.9652667021088074,0.9342349957734574,0.9875754961173425
model12,0.75,271,0.964735069998228,0.9336805555555556,0.9873517786561264
model12,0.8,289,0.9640262271841219,0.9328532853285328,0.9865401207937878
model12,0.85,307,0.9634945950735425,0.9324932493249325,0.9864583333333334
model12,0.9,325,0.9631401736664894,0.9312160326086956,0.9867202516162852
model12,0.95,343,0.9654439128123339,0.9350694444444445,0.9881132075471698
model12,1.0,362,0.9663299663299664,0.9367709213863059,0.9880929143080227
